variable,n_clipped,lo,hi,n_flagged,z_threshold
temperature,0.0,150.0,340.0,,
specific_humidity,52.0,0.0,0.04,,
u_component_of_wind,0.0,-200.0,200.0,,
v_component_of_wind,0.0,-200.0,200.0,,
geopotential,0.0,-5000.0,600000.0,,
vertical_velocity,0.0,-20.0,20.0,,
2m_temperature,0.0,180.0,340.0,,
10m_u_component_of_wind,0.0,-100.0,100.0,,
10m_v_component_of_wind,0.0,-100.0,100.0,,
mean_sea_level_pressure,0.0,87000.0,108400.0,,
total_cloud_cover,0.0,0.0,1.0,,
surface_pressure,0.0,50000.0,110000.0,,
temperature,,,,784.0,4.0
specific_humidity,,,,24379.0,4.0
u_component_of_wind,,,,1282.0,4.0
v_component_of_wind,,,,5531.0,4.0
geopotential,,,,217.0,4.0
vertical_velocity,,,,125292.0,4.0
total_precipitation_6hr,,,,38352.0,4.0
2m_temperature,,,,25.0,4.0
10m_u_component_of_wind,,,,253.0,4.0
10m_v_component_of_wind,,,,455.0,4.0
mean_sea_level_pressure,,,,32.0,4.0
total_cloud_cover,,,,3221.0,4.0
surface_pressure,,,,32.0,4.0
land_sea_mask,,,,2059791.0,4.0
geopotential_at_surface,,,,0.0,4.0
